,Unnamed: 0,asset_id,id,status_type_id,sensor_0_avg,sensor_1_avg,sensor_2_avg,Wind speed (m/s),wind_speed_4_avg,wind_speed_3_max,wind_speed_3_min,wind_speed_3_std,Pitch angle (°),sensor_5_max,sensor_5_min,sensor_5_std,sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_18_max,sensor_18_min,sensor_18_std,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,sensor_26_avg,reactive_power_27_avg,reactive_power_27_max,reactive_power_27_min,reactive_power_27_std,reactive_power_28_avg,reactive_power_28_max,reactive_power_28_min,reactive_power_28_std,power_29_avg,power_29_max,power_29_min,power_29_std,power_30_avg,power_30_max,power_30_min,power_30_std,sensor_31_avg,sensor_31_max,sensor_31_min,sensor_31_std,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_42_avg,sensor_43_avg,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,Power (kW),sensor_51,Rotor speed (RPM),sensor_52_max,sensor_52_min,sensor_52_std,sensor_53_avg
0,17,10,17,0,16,226.6,-5.6,3.4,3.4,6.3,0.6,0.7,6.7,43.9,-0.2,10.5,26,31,37,32,34,42,38,28,44.0,36,35,36,1037.9,1264.1,256.0,390.5,23,26,35,0.6,24.6,21.9,29.6,50.0,0.010780488,0.084536585,0.0,0.018585366,-0.010780488,0.0,-0.084536585,0.018585366,0.009317073,0.04297561,0.0,0.010243902,0.000195122,0.017121951,-0.012097561,0.005365854,0.003853659,100.8,-32.4,28.1,401.7,400.3,398.3,35,36,36,65,67,61,49,232.2,26,-565,640,0,-823,2143,0,75,1319,9.2,11.2,2.4,3.4,19
1,156,10,156,0,16,210.4,-13.7,4.0,4.1,6.8,1.0,0.7,-0.1,0.8,-0.9,0.4,26,31,44,32,39,46,40,30,50.0,41,40,41,1249.0,1263.0,1233.4,5.7,24,26,40,0.4,181.2,193.7,192.3,50.0,0.165560976,0.278292683,0.0,0.051658537,-0.165560976,0.0,-0.278292683,0.051658537,0.033804878,0.056829268,0.0,0.010536585,0.033756098,0.056097561,-0.003170732,0.010682927,-0.011170732,379.7,-438.1,234.1,399.2,397.0,395.9,40,42,41,64,66,59,49,224.2,26,0,11540,0,0,-3053,0,11540,-3053,11.0,11.2,10.9,0.0,19
2,161,10,161,0,17,215.6,-4.0,3.9,3.9,7.0,1.4,0.7,-0.1,0.7,-0.8,0.4,27,34,63,35,38,46,41,36,56.0,51,50,51,1249.1,1262.7,1235.9,4.8,24,28,38,0.3,149.4,160.5,158.8,50.0,0.125170732,0.216780488,0.032292683,0.042926829,-0.125170732,-0.032292683,-0.216780488,0.042926829,0.025560976,0.044243902,0.006585366,0.008780488,0.025560976,0.043463415,0.006682927,0.008731707,-0.006146341,403.3,-345.8,192.1,399.6,397.2,396.2,39,41,40,64,67,60,48,219.6,27,0,8781,0,0,-2280,0,8781,-2280,11.0,11.2,10.9,0.0,20
3,308,10,308,0,17,126.7,5.2,6.9,6.5,11.8,3.3,0.9,-2.1,-1.3,-2.3,0.1,26,34,53,35,38,52,42,40,55.0,48,47,47,1474.6,1579.6,1300.8,58.2,25,27,39,1.0,366.5,402.3,382.2,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.218634146,0.296731707,0.137902439,0.027121951,0.218780488,0.294195122,0.14004878,0.025853659,-0.046243902,-82.9,-102.3,3.8,398.5,396.1,396.2,40,41,41,63,65,59,49,121.5,26,0,74595,0,0,-15793,0,74595,-15793,13.0,13.9,11.5,0.5,19
4,309,10,309,0,17,122.7,1.2,7.1,6.7,12.0,3.4,1.1,-2.1,-1.2,-2.4,0.2,26,34,58,35,38,53,43,43,59.0,51,50,50,1498.8,1657.2,1282.0,84.8,25,28,39,1.0,416.8,449.1,428.3,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.247658537,0.441707317,0.140731707,0.058292683,0.24702439,0.434146341,0.142585366,0.057365854,-0.046829268,-41.6,-114.3,14.5,399.0,396.5,397.0,40,41,41,63,66,59,49,121.5,25,0,84125,0,0,-15980,0,84125,-15980,13.2,14.6,11.3,0.7,19
5,310,10,310,0,17,122.1,0.6,7.7,7.2,13.2,2.1,1.1,-2.2,-0.3,-2.8,0.2,26,35,62,35,38,54,45,44,62.0,55,53,54,1574.0,1662.2,1408.4,56.9,26,29,39,1.0,522.7,554.4,531.6,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.308243902,0.401268293,0.160146341,0.03497561,0.308439024,0.403365854,0.16595122,0.034439024,-0.057170732,-104.8,-123.8,4.6,400.0,397.4,398.3,41,42,42,63,66,59,49,121.5,25,0,105428,0,0,-19518,0,105428,-19518,13.9,14.7,12.5,0.5,19
6,311,10,311,0,17,121.1,-0.3,8.0,7.3,13.8,2.5,1.0,-2.2,-1.6,-2.4,0.1,26,35,67,35,38,55,46,46,64.0,57,55,56,1610.0,1661.8,1481.9,34.0,27,30,39,1.0,533.3,563.4,540.6,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.313853659,0.457512195,0.203853659,0.04204878,0.313707317,0.448097561,0.208243902,0.041512195,-0.059853659,-116.4,-129.5,3.0,400.0,397.6,398.6,41,42,42,64,66,60,49,121.5,26,0,107129,0,0,-20451,0,107129,-20451,14.2,14.7,13.1,0.3,19
7,312,10,312,0,17,108.1,-13.3,8.5,7.8,17.9,4.1,1.1,-2.2,-1.8,-2.4,0.1,26,35,71,36,39,56,47,47,66.0,60,58,59,1639.2,1676.4,1508.8,26.0,27,31,40,1.0,674.3,704.4,683.7,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.397121951,0.536585366,0.304243902,0.040829268,0.396439024,0.532780488,0.314439024,0.040097561,-0.063414634,-122.7,-138.1,4.1,399.3,397.0,397.9,41,43,42,64,67,60,48,121.4,27,0,135376,0,0,-21667,0,135376,-21667,14.5,14.8,13.4,0.2,19
8,313,10,313,0,17,109.1,-5.0,8.5,8.4,15.4,3.4,1.2,-2.2,0.0,-2.7,0.2,26,35,75,35,38,57,48,48,68.0,64,62,63,1637.4,1677.7,1431.2,40.7,28,33,40,1.0,856.1,888.1,867.3,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.501365854,0.643658537,0.299853659,0.068731707,0.501219512,0.635365854,0.307317073,0.068097561,-0.074926829,-134.5,-175.0,12.4,398.4,395.7,396.9,41,43,42,65,67,61,48,114.1,27,0,171304,0,0,-25627,0,171304,-25627,14.5,14.8,12.6,0.4,19
9,327,10,327,0,18,121.2,-3.4,8.3,8.1,18.7,2.7,1.6,-2.0,-0.2,-2.4,0.3,28,40,96,42,39,60,56,56,73.0,75,72,74,1604.3,1681.7,1321.2,78.8,30,41,40,1.0,784.7,809.9,790.0,50.0,0.487512195,0.487804878,0.446292683,0.002829268,-0.487804878,-0.487804878,-0.487804878,0.0,0.454341463,0.727268293,0.161121951,0.109268293,0.455073171,0.718195122,0.163463415,0.108146341,-0.081853659,-158.7,-177.4,4.3,398.0,395.8,397.0,41,43,42,73,76,70,46,124.6,30,0,155627,0,0,-27966,0,155627,-27966,14.2,14.8,11.7,0.7,20
