,Unnamed: 0,sensor_0_avg,sensor_1_avg,sensor_2_avg,Wind speed (m/s),wind_speed_4_avg,wind_speed_3_max,wind_speed_3_min,wind_speed_3_std,Pitch angle (°),sensor_5_max,sensor_5_min,sensor_5_std,sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_18_max,sensor_18_min,sensor_18_std,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,sensor_26_avg,reactive_power_27_avg,reactive_power_27_max,reactive_power_27_min,reactive_power_27_std,reactive_power_28_avg,reactive_power_28_max,reactive_power_28_min,reactive_power_28_std,power_29_avg,power_29_max,power_29_min,power_29_std,power_30_avg,power_30_max,power_30_min,power_30_std,sensor_31_avg,sensor_31_max,sensor_31_min,sensor_31_std,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_42_avg,sensor_43_avg,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,Power (kW),sensor_51,Rotor speed (RPM),sensor_52_max,sensor_52_min,sensor_52_std,sensor_53_avg
0,3936,24,264.5,-7.4,5.9,5.7,11.7,1.2,1.2,-1.6,-0.2,-2.4,0.5,37,43,94,43,38,52,47,44,63.0,65,64,65,1347.9,1651.5,1227.1,98.3,32,41,39,0.9,252.7,282.7,268.6,50.0,0.459560976,0.487804878,0.189121951,0.062878049,-0.459560976,-0.189121951,-0.487804878,0.062878049,0.148243902,0.338585366,0.038585366,0.060731707,0.147902439,0.332390244,0.039219512,0.060634146,-0.046585366,-76.9,-110.1,8.5,397.6,395.5,395.2,39,41,40,74,78,71,50,271.8,35,0,50386,0,0,-15903,0,50386,-15903,11.9,14.6,10.8,0.9,30
1,3937,24,282.4,-4.9,6.0,5.8,10.7,0.9,1.2,-1.7,-0.1,-2.8,0.6,37,43,94,43,38,53,48,45,65.0,66,65,66,1362.9,1589.2,1238.4,81.1,32,41,39,0.9,267.2,298.2,283.7,50.0,0.474878049,0.487804878,0.244926829,0.040731707,-0.474878049,-0.244926829,-0.487804878,0.040731707,0.156731707,0.313414634,0.05004878,0.050585366,0.156634146,0.309756098,0.051073171,0.050439024,-0.051219512,-96.6,-116.3,4.3,399.2,396.9,396.7,40,41,41,74,78,71,50,287.3,34,0,53530,0,0,-17483,0,53530,-17483,12.0,14.0,11.0,0.7,30
2,3938,24,299.9,19.7,6.7,6.4,14.0,1.9,1.2,-2.0,-0.7,-2.4,0.3,37,43,95,43,38,54,48,46,66.0,66,65,66,1440.4,1590.8,1282.4,85.3,32,41,39,1.0,365.6,396.7,382.2,50.0,0.48702439,0.487804878,0.33302439,0.007804878,-0.48702439,-0.33302439,-0.487804878,0.007804878,0.215853659,0.414146341,0.068341463,0.061365854,0.215170732,0.401902439,0.073804878,0.060341463,-0.059268293,-112.8,-134.4,4.0,400.2,398.1,398.1,40,41,41,74,78,71,50,280.3,34,0,73317,0,0,-20244,0,73317,-20244,12.7,14.0,11.3,0.8,31
3,3939,23,311.7,25.5,6.9,6.6,14.2,1.8,1.3,-2.0,-0.7,-2.4,0.3,37,43,95,43,38,55,49,47,67.0,67,65,67,1474.1,1663.4,1275.8,96.4,32,41,39,1.0,409.4,440.6,425.7,50.0,0.487804878,0.487804878,0.468878049,0.000585366,-0.487804878,-0.468878049,-0.487804878,0.000585366,0.240878049,0.413414634,0.095658537,0.06702439,0.24097561,0.402682927,0.098390244,0.066731707,-0.062780488,-118.6,-141.0,6.0,400.5,398.5,398.5,40,41,41,75,78,71,50,286.2,34,0,82399,0,0,-21445,0,82399,-21445,13.0,14.7,11.3,0.8,31
4,3940,23,282.8,-2.4,7.2,6.8,19.2,1.9,1.3,-2.1,0.2,-2.8,0.3,37,43,95,43,38,56,50,48,68.0,68,66,67,1507.2,1652.8,1323.6,81.9,32,41,39,1.0,445.3,475.6,459.5,50.0,0.487756098,0.487804878,0.455317073,0.000829268,-0.487756098,-0.455317073,-0.487804878,0.000829268,0.261463415,0.423804878,0.092926829,0.064390244,0.261463415,0.411219512,0.100390244,0.064341463,-0.067560976,-127.7,-146.1,4.1,401.1,399.2,399.3,40,41,41,75,78,71,50,285.2,34,0,89677,0,0,-23081,0,89677,-23081,13.3,14.6,11.7,0.7,30
5,3941,23,285.7,0.5,6.2,6.0,11.3,2.1,1.0,-1.8,-0.3,-2.3,0.4,37,43,96,43,38,56,50,48,68.0,68,66,68,1381.1,1564.5,1246.9,76.0,32,41,39,0.9,306.0,334.4,318.7,50.0,0.487317073,0.487804878,0.436487805,0.003756098,-0.487317073,-0.436487805,-0.487804878,0.003756098,0.17702439,0.336341463,0.089073171,0.050341463,0.177121951,0.329707317,0.091756098,0.050195122,-0.06,-112.7,-132.1,3.8,400.2,398.2,398.1,40,41,41,75,79,72,50,285.2,34,0,60414,0,0,-20496,0,60414,-20496,12.2,13.8,11.0,0.7,30
6,3942,22,271.4,-14.5,6.2,6.2,14.3,1.2,1.4,-1.7,0.3,-2.4,0.5,37,43,96,43,38,55,50,48,68.0,68,66,68,1381.6,1655.5,1241.9,107.0,32,41,39,0.9,336.2,362.9,347.8,50.0,0.48604878,0.487804878,0.408195122,0.009853659,-0.48604878,-0.408195122,-0.487804878,0.009853659,0.194487805,0.39795122,0.083219512,0.070682927,0.194585366,0.386926829,0.084,0.07102439,-0.061317073,-118.0,-134.9,4.2,400.5,398.7,398.7,40,41,41,75,79,72,50,285.9,34,0,66445,0,0,-20949,0,66445,-20949,12.2,14.6,11.0,0.9,30
7,3943,22,316.4,21.5,7.2,6.8,14.6,2.1,1.2,-2.1,0.3,-2.7,0.3,36,43,96,43,38,56,50,48,68.0,68,66,68,1518.0,1665.9,1261.5,93.3,32,41,39,1.0,441.3,472.6,458.3,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.261560976,0.404243902,0.119365854,0.061658537,0.261219512,0.400292683,0.124585366,0.061268293,-0.062780488,-118.4,-143.7,6.5,401.5,399.5,399.5,40,41,41,75,79,72,49,295.0,34,0,89158,0,0,-21439,0,89158,-21439,13.4,14.7,11.1,0.8,30
8,3944,22,282.5,2.6,7.1,6.9,17.7,1.3,1.5,-2.0,-0.9,-2.4,0.3,36,43,96,43,38,57,51,49,69.0,68,67,68,1491.2,1667.7,1247.2,117.4,31,41,39,1.0,462.2,492.6,478.1,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.271658537,0.491219512,0.121512195,0.078,0.271414634,0.47595122,0.12195122,0.077463415,-0.065414634,-127.2,-140.8,3.4,400.0,398.2,398.4,40,42,41,75,79,72,49,279.9,34,0,92684,0,0,-22355,0,92684,-22355,13.2,14.7,11.0,1.0,29
9,3945,22,296.6,8.6,7.3,7.0,17.7,1.7,1.4,-2.0,0.0,-2.4,0.4,36,43,97,43,38,58,52,51,70.0,69,67,68,1528.5,1667.2,1253.6,99.1,32,42,39,1.0,489.8,520.7,506.1,50.0,0.487219512,0.487804878,0.403560976,0.005560976,-0.487219512,-0.403560976,-0.487804878,0.005560976,0.285804878,0.483707317,0.082390244,0.073463415,0.285804878,0.478731707,0.085073171,0.073073171,-0.068292683,-127.0,-149.7,5.8,397.7,395.8,395.9,40,42,41,75,79,72,49,288.0,34,0,97583,0,0,-23327,0,97583,-23327,13.5,14.7,11.1,0.9,29
10,3946,21,288.1,-0.9,6.7,6.5,17.5,1.7,1.4,-1.9,-0.1,-3.0,0.4,36,43,96,43,38,57,52,51,69.0,68,66,67,1460.6,1658.1,1253.9,118.2,32,42,39,0.9,387.7,417.1,400.9,50.0,0.485170732,0.487804878,0.338195122,0.014585366,-0.485170732,-0.338195122,-0.487804878,0.014585366,0.22404878,0.390536585,0.06902439,0.06604878,0.22404878,0.385170732,0.071609756,0.06595122,-0.065512195,-124.2,-146.3,4.7,397.8,396.0,396.1,40,41,41,75,79,72,49,289.0,34,0,76666,0,0,-22420,0,76666,-22420,12.9,14.6,11.1,1.0,29
11,3947,21,281.6,-11.6,7.3,6.9,13.2,1.6,1.2,-2.1,-1.1,-2.4,0.2,36,43,97,43,38,57,52,52,70.0,68,67,67,1531.6,1669.3,1304.4,91.3,32,41,39,1.0,465.0,496.8,481.6,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.270878049,0.378585366,0.138682927,0.054097561,0.271414634,0.373414634,0.144,0.053512195,-0.066390244,-124.6,-146.7,4.8,397.0,394.9,395.0,40,42,41,76,79,72,49,293.2,34,0,92819,0,0,-22668,0,92819,-22668,13.5,14.7,11.6,0.8,29
