,Unnamed: 0,sensor_0_avg,sensor_1_avg,sensor_2_avg,Wind speed (m/s),wind_speed_4_avg,wind_speed_3_max,wind_speed_3_min,wind_speed_3_std,Pitch angle (°),sensor_5_max,sensor_5_min,sensor_5_std,sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_18_max,sensor_18_min,sensor_18_std,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,sensor_26_avg,reactive_power_27_avg,reactive_power_27_max,reactive_power_27_min,reactive_power_27_std,reactive_power_28_avg,reactive_power_28_max,reactive_power_28_min,reactive_power_28_std,power_29_avg,power_29_max,power_29_min,power_29_std,power_30_avg,power_30_max,power_30_min,power_30_std,sensor_31_avg,sensor_31_max,sensor_31_min,sensor_31_std,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_42_avg,sensor_43_avg,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,Power (kW),sensor_51,Rotor speed (RPM),sensor_52_max,sensor_52_min,sensor_52_std,sensor_53_avg
0,3979,19,240.0,-25.2,6.0,6.0,11.7,1.8,1.2,-1.7,1.0,-2.5,0.5,28,40,96,40,38,52,47,43,56.0,60,60,60,1363.2,1582.0,1249.7,74.7,28,38,39,0.9,313.5,347.5,324.7,49.9,0.487560976,0.487804878,0.436390244,0.002682927,-0.487560976,-0.436390244,-0.487804878,0.002682927,0.17302439,0.272536585,0.089073171,0.039804878,0.173365854,0.269268293,0.092926829,0.039268293,-0.079707317,-155.0,-171.8,4.2,398.7,396.2,396.1,39,41,40,74,77,71,45,265.2,30,0,59294,0,0,-27270,0,59294,-27270,12.0,14.0,11.0,0.7,20
1,4020,17,340.8,2.0,3.5,3.3,6.6,0.5,0.9,7.7,43.2,-1.5,11.7,26,35,55,35,33,42,41,29,32.0,36,36,37,945.8,1377.4,226.3,459.4,23,31,33,0.5,68.4,72.3,70.1,50.0,0.047317073,0.414341463,0.0,0.072,-0.047317073,0.0,-0.414341463,0.072,0.012243902,0.103658537,0.0,0.017414634,0.006390244,0.083756098,-0.01595122,0.01702439,-0.016195122,285.0,-335.4,113.9,399.2,397.2,395.7,34,35,35,70,73,66,45,338.8,27,-1032,3213,0,-1255,-4312,0,2180,-5567,8.4,12.1,2.0,4.0,19
2,4038,19,33.2,9.1,3.8,3.7,10.4,0.4,1.0,0.1,2.9,-1.6,0.8,29,33,42,34,34,44,40,28,30.0,36,36,36,1250.6,1275.2,1219.5,9.4,24,28,35,0.5,87.1,95.6,92.1,50.0,0.086195122,0.347170732,0.0,0.082439024,-0.086195122,0.0,-0.347170732,0.082439024,0.018634146,0.070878049,0.0,0.016243902,0.015853659,0.068585366,-0.018195122,0.018682927,-0.011121951,259.8,-498.6,128.2,401.0,398.7,397.5,36,37,37,67,70,63,47,24.0,27,-154,5563,0,-213,-3674,0,5409,-3887,11.0,11.3,10.8,0.1,23
3,4039,19,27.8,16.8,4.1,4.0,16.5,0.4,1.3,1.9,43.1,-2.3,7.6,29,33,46,34,37,46,41,30,32.0,39,39,39,1176.9,1457.1,262.6,256.8,24,28,38,0.6,115.6,125.2,124.4,50.0,0.129414634,0.487804878,0.0,0.14702439,-0.129414634,0.0,-0.487804878,0.14702439,0.035073171,0.146439024,0.0,0.033317073,0.025658537,0.144682927,-0.012243902,0.03502439,-0.020731707,387.5,-751.2,184.2,399.8,397.8,396.2,38,39,39,67,70,63,47,11.0,27,-488,9219,0,-558,-6162,0,8731,-6720,10.4,12.8,2.5,2.3,23
4,4044,20,353.0,-12.1,3.5,3.4,9.5,0.5,1.2,0.6,5.0,-1.9,1.2,30,34,49,35,34,44,41,33,35.0,41,40,40,1238.8,1349.7,1051.7,59.9,25,29,35,0.6,48.1,48.7,50.1,50.0,0.044780488,0.453804878,0.0,0.101268293,-0.044780488,0.0,-0.453804878,0.101268293,0.02,0.153512195,0.0,0.026780488,0.003902439,0.091658537,-0.024487805,0.023658537,-0.006243902,548.4,-527.4,99.0,400.3,399.3,397.0,35,36,36,67,69,62,47,5.0,29,-926,2255,0,-1231,-917,0,1329,-2148,10.9,11.9,9.3,0.5,24
5,4047,21,307.7,5.0,3.3,3.3,8.0,0.5,0.9,13.0,62.5,-2.3,16.7,31,34,48,35,34,42,40,34,35.0,42,41,41,773.1,1401.3,75.9,469.8,25,29,35,0.6,33.7,31.8,37.5,50.0,0.022341463,0.487804878,0.0,0.064780488,-0.022341463,0.0,-0.487804878,0.064780488,0.016195122,0.107609756,0.0,0.019902439,0.000878049,0.10702439,-0.021463415,0.015463415,0.000731707,299.8,-272.7,58.5,397.6,396.5,393.9,34,36,35,67,69,62,48,302.7,29,-1148,1426,0,-1205,1406,0,278,201,6.7,12.3,0.0,4.3,24
6,4048,21,321.1,-7.8,3.7,3.7,10.8,0.5,1.2,13.9,24.0,-2.4,12.0,31,35,49,35,34,43,40,34,35.0,42,42,42,621.5,1434.4,217.5,457.2,25,30,35,0.6,50.8,54.2,56.1,50.0,0.063658537,0.487804878,0.0,0.150195122,-0.063658537,0.0,-0.487804878,0.150195122,0.033902439,0.201170732,0.0,0.040341463,0.011219512,0.198243902,-0.014439024,0.04004878,-0.010487805,315.9,-793.2,107.0,397.5,396.5,394.1,34,36,35,67,70,62,48,328.9,29,-1264,5015,0,-1346,-2087,0,3750,-3433,5.5,12.7,1.9,4.0,25
7,4049,21,335.5,25.8,3.7,3.7,12.8,0.4,1.2,6.8,63.4,-2.3,16.4,31,35,52,35,37,45,41,34,35.0,44,44,44,1034.4,1273.8,66.1,384.5,26,30,38,0.6,92.2,100.9,99.5,50.0,0.10902439,0.487804878,0.0,0.142926829,-0.10902439,0.0,-0.487804878,0.142926829,0.029756098,0.135268293,0.0,0.032536585,0.019609756,0.113317073,-0.024487805,0.032585366,-0.017317073,407.4,-647.5,150.4,398.1,396.4,394.2,38,39,39,67,70,63,48,309.7,29,-760,7577,0,-846,-4986,0,6817,-5832,9.1,11.3,0.0,3.6,25
8,4050,21,322.2,4.1,3.8,3.8,10.4,0.4,1.2,4.2,44.3,-1.8,9.9,32,35,55,35,39,46,41,35,36.0,47,46,46,1087.6,1417.2,201.5,355.7,26,30,39,0.5,102.9,108.6,110.8,50.0,0.104341463,0.487804878,0.0,0.125707317,-0.104341463,0.0,-0.487804878,0.125707317,0.031658537,0.129317073,0.0,0.028731707,0.018878049,0.128390244,-0.021804878,0.028878049,-0.00497561,568.0,-595.5,165.7,401.0,399.5,397.3,40,41,41,67,70,63,48,318.1,29,-660,7116,0,-850,-941,0,6456,-1790,9.6,12.5,1.9,3.1,25
9,4051,21,282.6,-39.3,3.5,3.4,11.6,0.4,1.1,4.2,40.2,-2.4,9.6,32,35,55,36,39,45,41,36,37.0,47,47,47,877.0,1443.5,259.1,327.2,26,31,39,0.5,51.1,56.3,55.9,50.0,0.043268293,0.487804878,0.0,0.095609756,-0.043268293,0.0,-0.487804878,0.095609756,0.025121951,0.156634146,0.0,0.028829268,0.005707317,0.154487805,-0.013219512,0.024585366,-0.014829268,349.5,-540.3,106.7,400.2,399.1,396.3,38,40,39,67,70,63,48,322.0,30,-1234,3141,0,-1295,-3842,0,1906,-5137,7.7,12.7,2.3,2.9,25
