sensor_0_avg,sensor_1_avg,sensor_2_avg,Wind speed (m/s),wind_speed_4_avg,Pitch angle (°),sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,sensor_26_avg,reactive_power_27_avg,reactive_power_28_avg,power_29_avg,power_30_avg,sensor_31_avg,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_42_avg,sensor_43_avg,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,Power (kW),sensor_51,Rotor speed (RPM),sensor_53_avg
20,225.5,18.1,4.4,4.4,-0.6,33,34,54,35,38,48,40,38,56.0,48,48,48,1254.9,28,30,39,0.7,118.7,139.4,116.8,50.0,0.253219512,-0.253219512,0.051707317,0.051756098,-0.040487805,397.0,394.7,394.4,39,40,40,65,67,61,50,207.4,30,0,17694,0,0,-13777,0,17694,-13777,11.1,27
20,213.9,-10.6,4.6,4.4,-0.8,34,35,59,35,38,48,41,39,58.0,51,51,51,1262.0,28,31,39,0.8,111.2,131.2,110.5,50.0,0.261365854,-0.261365854,0.054878049,0.054780488,-0.034634146,396.4,394.4,394.2,40,41,41,65,68,61,50,224.5,29,0,18790,0,0,-11835,0,18790,-11835,11.1,27
20,208.4,-5.9,4.3,4.4,-0.4,34,35,64,35,39,48,41,40,58.0,53,52,53,1255.1,28,32,40,0.8,112.2,129.3,112.5,50.0,0.257512195,-0.257512195,0.056243902,0.054195122,-0.032634146,396.4,394.4,394.1,40,42,41,65,68,61,50,214.4,29,-224,18683,0,-301,-10838,0,18458,-11139,11.1,27
20,242.5,-29.3,4.3,4.3,-0.4,35,40,95,41,39,48,44,39,63.0,62,61,62,1258.1,29,39,39,0.7,97.3,114.8,93.4,50.0,0.209268293,-0.209268293,0.044878049,0.042243902,-0.033853659,398.6,396.3,396.2,39,41,40,68,72,65,48,271.8,31,-39,14441,0,-69,-11512,0,14403,-11580,11.1,28
20,224.2,-50.8,6.1,6.1,-1.7,35,40,97,41,38,52,46,43,64.0,63,61,63,1379.5,29,39,39,1.0,314.0,345.1,329.2,50.0,0.480536585,-0.480536585,0.185414634,0.18502439,-0.048926829,397.7,395.9,395.8,40,41,41,69,73,65,47,275.0,31,0,63077,0,0,-16745,0,63077,-16745,12.2,28
18,234.0,-4.2,4.0,4.1,-0.1,28,34,51,35,38,46,41,33,51.0,43,43,43,1253.0,25,28,38,0.5,143.6,153.4,150.7,50.0,0.166097561,-0.166097561,0.036682927,0.03297561,-0.019170732,400.4,398.5,397.7,39,40,40,64,66,59,48,238.2,29,-155,11442,0,-252,-6696,0,11287,-6948,11.1,22
18,238.5,0.7,4.3,4.3,-0.4,28,34,55,35,38,47,41,35,54.0,47,47,47,1255.2,26,29,39,0.6,135.5,152.2,139.7,50.0,0.233804878,-0.233804878,0.04795122,0.047609756,-0.037463415,398.7,396.7,396.3,39,41,40,64,66,59,48,237.9,29,0,16316,0,0,-12595,0,16316,-12595,11.1,22
18,205.0,-64.3,4.5,4.4,-0.6,33,40,96,40,39,48,45,40,62.0,61,60,61,1254.9,27,38,39,0.8,114.3,128.0,103.9,50.0,0.259219512,-0.259219512,0.052926829,0.05297561,-0.038682927,398.0,396.0,396.5,39,41,40,69,72,65,46,269.4,30,0,18086,0,0,-13203,0,18086,-13203,11.1,25
16,108.5,2.4,4.7,4.5,-0.9,26,33,33,31,32,41,37,30,39.0,34,34,34,1252.7,22,25,34,0.6,186.0,209.7,192.3,50.0,0.261317073,-0.261317073,0.053317073,0.053317073,-0.046243902,398.3,395.7,394.9,35,36,36,62,65,58,50,106.0,25,0,18193,0,0,-15959,0,18193,-15959,11.1,18
17,102.2,-3.9,5.0,4.9,-1.1,26,33,40,32,37,46,39,33,46.0,38,38,38,1258.6,23,25,39,0.9,146.0,178.4,153.5,50.0,0.397170732,-0.397170732,0.081365854,0.081219512,-0.043658537,399.2,396.6,396.1,39,40,40,63,65,58,50,106.0,25,0,27697,0,0,-14932,0,27697,-14932,11.1,18
