,Unnamed: 0,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
0,101,6.847519922,403.1424281,8.266999958,9.106927905
1,105,7.297668147,845.3188202,0.0,13.50420611
2,106,7.918899488,866.8799927,0.0,13.55815418
3,122,7.4504004,824.9287704,0.0,13.34822877
4,123,7.217478156,856.298941,0.0,13.49325205
5,320,7.127338624,821.4938721,0.0,13.38650237
6,361,3.463043426,78.36007721,0.602105268,8.183845952
7,385,8.156406426,1143.803619,0.042999999,14.36029212
8,401,7.737696383,967.6781582,0.0,13.96077702
9,419,7.72410444,1023.772452,0.0,14.12622817
10,420,8.005382061,1116.352789,0.0,14.71682256
11,421,7.519545674,987.9883698,0.0,14.13658909
12,469,8.154587364,1168.711636,0.0,14.71708283
13,470,8.255363226,1201.907571,0.0,14.82452041
14,471,8.051194239,1138.442154,0.0,14.80551973
15,472,8.241515565,1318.326151,0.0,15.01234393
16,485,8.767168355,1585.121765,0.637999994,14.8859784
17,486,7.535787892,1113.524521,0.075,14.17243136
18,487,7.702735887,1161.022427,0.194117644,14.05119244
19,489,8.726999164,1588.776471,0.787500012,14.96320188
20,493,8.557727766,1317.418631,0.175499998,14.59684181
21,496,8.832768416,1551.109003,0.834000012,14.97361211
22,498,8.601702404,1559.849893,1.013500023,14.90308209
23,501,8.919510961,1553.891885,0.403999997,15.01363666
24,504,8.854393744,1500.225906,0.257000003,15.00295638
25,507,10.30197167,1888.969617,2.885000003,15.17724757
26,513,10.4380163,1932.630835,2.996499993,15.158135
27,514,10.91106104,2020.425885,3.415500051,15.17502384
28,516,8.989417338,1491.328696,0.212499998,14.92664967
29,519,8.033225679,1213.867766,0.110999998,14.33211856
30,520,8.810901618,1442.55307,0.351500002,14.89392096
31,522,10.63110342,2005.044647,3.731499982,15.1757876
32,529,10.08744471,1916.046979,1.987500003,15.16335949
33,533,8.583251381,1336.784296,0.287,14.31429756
34,538,8.910879278,1442.035516,0.906999992,14.65643764
35,539,7.947782564,1270.609607,0.0,14.77732082
36,549,5.008095169,355.9634857,0.0,10.39309122
37,550,4.9911847,272.3331696,0.0,9.546178356
38,551,4.853079665,289.8106575,0.0,9.773319885
39,552,4.822173023,267.0463844,0.0,9.499937966
40,553,4.538946545,207.2932693,0.049000001,8.890512317
41,555,4.580563533,313.1159401,0.0,9.97317405
42,556,4.674820676,255.2996961,0.0,9.449810386
43,575,7.60998224,1124.272592,0.0,14.30644454
44,579,8.433006251,1339.804639,0.115500001,14.71855009
45,580,8.964558099,1384.889138,0.196315784,14.96212504
46,581,7.520603728,1089.296771,0.086500002,13.76322801
47,587,7.52266413,1122.907794,0.0005,14.03820205
48,594,4.58138032,252.589241,0.0,9.369455874
49,596,4.093650687,206.6888046,0.0,8.905653656
50,597,3.892915809,165.982843,0.0245,8.56099011
51,663,8.210686081,1424.33717,0.343500006,14.78737146
52,664,8.291671503,1311.585549,0.0,14.81657187
53,703,8.114288259,1180.075348,0.0,14.79752728
54,712,3.525174069,96.33642397,0.394000006,8.19651255
55,728,8.041467476,1197.954645,0.0,14.98747234
56,977,6.219353914,481.1368164,0.0,11.35305472
57,978,6.146737385,470.9932861,0.0,11.28257386
58,979,6.094762421,516.122258,0.0,11.61882198
59,980,5.9916291,463.40168,0.0,11.23009828
60,981,6.096729994,433.8460327,0.0,10.99845368
61,982,6.325364399,440.2446594,0.0,11.05742182
62,983,5.932656062,352.2042007,0.0,10.33594774
63,1410,7.405441976,603.2989792,4.800499991,10.91385801
64,1411,6.318923235,568.0126526,0.0,11.98454954
65,1412,6.491238904,536.7176926,0.0,11.74362977
66,1413,6.10864718,469.2769363,0.0,11.26483557
67,1414,6.012827563,427.1976761,0.0,10.9587159
68,1415,6.728950286,616.7007751,0.0,12.28342451
69,1416,7.269713092,888.3781677,0.0,13.68143213
70,1417,8.353948569,1299.971021,0.0,15.01687378
71,1418,8.361373758,1329.52771,0.0,15.03184448
72,1419,7.759466076,1067.433115,0.0,14.5656812
73,1420,7.828611302,1108.62027,0.0,14.71822916
74,1421,7.565172386,881.9549744,0.0,13.70567782
75,1422,7.320388603,898.481723,0.0,13.78711545
76,1423,8.005753303,1061.348694,0.0,14.51130322
77,1424,7.721208763,1081.262299,0.0,14.47611286
78,1425,7.041542768,795.0498413,0.0,13.21854682
79,1426,6.950939155,735.7881195,0.0,12.94236244
80,1427,6.414074588,636.3283997,0.0,12.30784334
81,1428,6.322134614,531.5317459,0.0,11.69534965
82,1429,6.42645576,607.8884125,0.0,12.14092661
83,1430,6.913610005,720.1892059,0.0,12.79640776
84,1431,6.187686419,610.4872482,0.0,12.22871147
85,1432,5.460611784,373.3230927,0.0,10.50065584
86,1433,5.651842654,367.6003876,0.0,10.48033413
87,1434,5.652770686,438.2636963,0.0,11.02242471
88,1435,5.646997797,427.0760605,0.0,10.97247313
89,1436,5.898668218,533.8280807,0.0,11.60286623
90,1437,7.494653344,943.6261169,0.0,13.9375024
91,1438,8.124028532,1154.430712,0.0,14.71782215
92,1439,8.040465164,1072.39762,0.0,14.54154691
93,1440,7.669604921,1021.176807,0.0,14.35026924
94,1441,7.195054626,837.1525513,0.0,13.44281651
95,1442,7.542489028,981.0209259,0.0,14.13594778
96,1443,7.773053813,1060.595889,0.0085,14.49996713
97,1444,7.84303441,1156.413699,0.0,14.65735343
98,1448,8.473528218,1231.660062,0.0,14.90354633
99,1484,8.199787092,1227.995746,0.001,14.78179666
100,1548,8.708511043,1470.150079,0.273500001,14.99264914
101,1605,9.762007093,1689.481461,1.102499992,15.07355748
102,1606,8.678755188,1255.029358,0.072500001,14.67690817
103,1607,8.82386297,1209.568016,0.0,14.80792522
104,1608,8.963815614,1450.448059,0.213157896,15.0695325
105,1609,8.027211523,1150.90177,0.034,14.68296173
106,1610,8.220762682,1115.674683,0.023,14.52883378
107,1611,8.851999021,1335.054587,0.168499996,15.02534088
108,1612,7.478986645,948.6706635,0.0,14.09180264
109,1613,7.368183136,872.4559937,0.0,13.72301864
110,1614,8.331342446,1173.66546,0.046315789,14.76895372
111,1615,8.998550105,1377.497717,0.211000003,15.07674618
112,1616,7.970094681,1084.484851,0.0,14.52966003
113,1617,8.336611199,1233.131021,0.0425,15.01685371
114,1618,7.490959406,841.2051985,0.0,13.45421304
115,1619,6.1961694,517.0121696,0.0,11.5422269
116,1621,6.29982121,419.2993078,2.956500053,10.59299125
117,1622,6.542174387,532.0780884,0.0,11.72007836
118,1623,5.563373852,406.5013596,0.0,10.82103901
119,1624,6.560087156,550.3895187,0.0,11.84753072
120,1625,6.826205373,501.3013865,0.0,11.47709474
121,1627,6.718815136,491.787826,0.124000001,11.35820031
122,1628,7.397590184,759.2774811,0.0,13.08576778
123,1629,6.097992373,521.8011948,0.0,11.62616739
