,Unnamed: 0,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
0,103,6.828296757,697.6020416,0.0,12.73907299
1,104,7.457509732,789.3036774,0.0,13.20090486
2,105,7.297668147,845.3188202,0.0,13.50420611
3,107,7.142021489,718.2727478,0.0,12.82562162
4,108,6.563985324,550.3681808,0.0,11.80233943
5,109,6.59181056,552.9184509,0.0,11.76420374
6,110,6.678311813,655.6631287,0.0,12.41789491
7,111,6.882685837,720.2143097,0.0,12.75160463
8,112,6.400486851,618.5393341,0.0,12.23782973
9,113,6.739568043,551.0228149,0.0,11.79580843
10,114,6.68358357,587.5917824,0.0,12.0429974
11,115,6.286828566,475.3511902,0.0,11.2402913
12,116,6.755086279,706.6268005,0.0,12.63167667
13,117,6.702610111,741.2829742,0.0,12.96096718
14,118,6.638680816,800.8333252,0.0,13.33369133
15,119,6.850887275,778.2376465,0.0,13.16829769
16,120,7.049079108,716.1098022,0.0,12.83316372
17,121,6.609927511,677.6986069,0.0,12.51231623
18,122,7.4504004,824.9287704,0.0,13.34822877
19,123,7.217478156,856.298941,0.0,13.49325205
20,124,6.887492609,699.6897797,0.0,12.73223399
21,125,7.283207941,782.9065948,0.0,13.21162847
22,126,6.435347223,615.3311844,0.0,12.23402032
23,127,6.379010057,524.3178421,0.0,11.63662796
24,128,6.538591766,623.0834167,0.0,12.27714859
25,129,6.292285895,564.8327667,0.0,11.93464328
26,130,6.331063056,605.1855118,0.0,12.12119253
27,131,6.38287096,596.2008179,0.0,12.12332381
28,132,6.525932169,565.1171402,0.0,11.86582263
29,133,6.106772339,411.4626961,0.0,10.77837074
30,134,5.691213667,345.1572754,0.0,10.26916136
31,135,5.437594247,337.6536674,0.0,10.15223376
32,136,5.20587858,322.9964516,0.0,10.03652854
33,137,5.324103165,280.7256683,0.0,9.677389339
34,138,5.509319746,361.562384,0.0,10.38595198
35,139,6.147053051,471.4110474,0.0,11.25786361
