,Unnamed: 0,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
0,101,6.847519922,403.1424281,8.266999958,9.106927905
1,102,7.156797338,706.9233917,1.015500006,11.8305328
2,106,7.918899488,866.8799927,0.0,13.55815418
3,166,3.663498929,147.6771665,0.652105269,8.881527985
4,170,2.555302054,75.08899775,0.690000008,8.265506476
5,173,3.029054159,112.0969753,0.269500004,8.308191553
6,176,4.283489323,113.4495291,0.566000006,8.436702535
7,187,3.69286769,180.0926643,0.318500006,8.870763838
8,232,2.480962729,3.238663635,13.00149989,6.047780646
9,385,8.156406426,1143.803619,0.042999999,14.36029212
10,411,4.011400199,231.666703,0.0,9.199184909
11,416,5.177403629,422.3185127,0.0,10.7186349
12,436,3.6857584,235.4659966,0.0,9.222225443
13,443,4.712060285,353.3070152,0.0,10.30753063
14,469,8.154587364,1168.711636,0.0,14.71708283
15,470,8.255363226,1201.907571,0.0,14.82452041
16,471,8.051194239,1138.442154,0.0,14.80551973
17,472,8.241515565,1318.326151,0.0,15.01234393
18,478,5.960017228,671.1051834,0.0,12.59535183
19,482,6.045924497,696.3920212,0.0,12.68706295
20,484,6.903029346,958.1857147,0.156500006,13.44028459
21,485,8.767168355,1585.121765,0.637999994,14.8859784
22,487,7.702735887,1161.022427,0.194117644,14.05119244
23,488,8.499423051,1610.772983,1.065499993,14.96690503
24,489,8.726999164,1588.776471,0.787500012,14.96320188
25,490,9.846633506,1875.430157,1.864000027,15.13102001
26,491,9.007218742,1709.300616,0.617500007,15.10408598
27,492,9.380157876,1656.578943,0.442500003,15.1409086
28,493,8.557727766,1317.418631,0.175499998,14.59684181
29,494,9.850216246,1792.424084,1.926000011,15.08293726
30,495,9.417579889,1699.222678,0.91249999,15.07376267
31,496,8.832768416,1551.109003,0.834000012,14.97361211
32,497,9.435028577,1689.692722,1.6005,15.01221268
33,498,8.601702404,1559.849893,1.013500023,14.90308209
34,499,9.078164506,1638.939267,0.926999998,15.01379585
35,500,9.11970737,1682.880566,0.964999995,14.96828149
36,501,8.919510961,1553.891885,0.403999997,15.01363666
37,502,9.556891489,1792.140775,2.139499998,14.96622598
38,503,10.06568952,1877.238306,2.204999981,15.16028278
39,504,8.854393744,1500.225906,0.257000003,15.00295638
40,505,9.512898397,1732.62616,1.3925,15.11173099
41,506,9.567769098,1754.828082,1.77349999,15.09387267
42,507,10.30197167,1888.969617,2.885000003,15.17724757
43,508,9.453795385,1793.39671,1.938500002,15.08576699
44,509,9.683135104,1803.586108,0.909500001,15.14346041
45,510,9.505436206,1646.240665,1.310500012,14.99742164
46,511,9.892631412,1705.172168,1.245500013,15.0987508
47,512,10.00474892,1810.71413,2.685500009,15.057659
48,513,10.4380163,1932.630835,2.996499993,15.158135
49,514,10.91106104,2020.425885,3.415500051,15.17502384
50,515,9.489175439,1769.51116,0.81578948,15.15829024
51,516,8.989417338,1491.328696,0.212499998,14.92664967
52,518,6.354637432,841.7606903,0.0175,13.10390899
53,519,8.033225679,1213.867766,0.110999998,14.33211856
54,520,8.810901618,1442.55307,0.351500002,14.89392096
55,521,9.85780828,1783.627704,0.918500009,15.14967455
56,522,10.63110342,2005.044647,3.731499982,15.1757876
57,523,10.18564048,1822.892023,2.552500023,15.13758136
58,524,9.529122043,1706.567853,1.277000007,15.09600592
59,525,9.729114246,1847.406824,1.298999999,15.17106695
60,526,9.628171396,1767.538464,1.344500008,15.14945523
61,527,9.370021795,1737.920404,1.807894717,15.09590982
62,528,9.482715869,1845.137732,1.160999995,15.15567836
63,529,10.08744471,1916.046979,1.987500003,15.16335949
64,530,9.337686992,1673.199585,0.808999991,15.11334792
65,533,8.583251381,1336.784296,0.287,14.31429756
66,537,6.346896875,818.8923706,0.0,13.16429083
67,538,8.910879278,1442.035516,0.906999992,14.65643764
68,539,7.947782564,1270.609607,0.0,14.77732082
69,555,4.580563533,313.1159401,0.0,9.97317405
70,563,6.782819622,984.2486781,0.0,13.91460003
71,564,4.835965073,409.2149452,0.0,10.83385308
72,575,7.60998224,1124.272592,0.0,14.30644454
73,577,6.760339522,957.1613373,0.0,13.93646474
74,579,8.433006251,1339.804639,0.115500001,14.71855009
75,580,8.964558099,1384.889138,0.196315784,14.96212504
76,581,7.520603728,1089.296771,0.086500002,13.76322801
77,587,7.52266413,1122.907794,0.0005,14.03820205
78,650,7.688891363,962.3040619,0.087000003,13.48914081
79,663,8.210686081,1424.33717,0.343500006,14.78737146
80,728,8.041467476,1197.954645,0.0,14.98747234
81,859,3.51220305,41.70398752,17.07100044,5.380821526
