,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
0,7.156797338,706.9233917,1.015500006,11.8305328
1,6.828296757,697.6020416,0.0,12.73907299
2,7.457509732,789.3036774,0.0,13.20090486
3,7.297668147,845.3188202,0.0,13.50420611
4,7.918899488,866.8799927,0.0,13.55815418
5,7.142021489,718.2727478,0.0,12.82562162
6,6.563985324,550.3681808,0.0,11.80233943
7,6.59181056,552.9184509,0.0,11.76420374
8,6.678311813,655.6631287,0.0,12.41789491
9,6.882685837,720.2143097,0.0,12.75160463
10,6.400486851,618.5393341,0.0,12.23782973
11,6.739568043,551.0228149,0.0,11.79580843
12,6.68358357,587.5917824,0.0,12.0429974
13,6.286828566,475.3511902,0.0,11.2402913
14,6.755086279,706.6268005,0.0,12.63167667
15,6.702610111,741.2829742,0.0,12.96096718
16,6.638680816,800.8333252,0.0,13.33369133
17,6.850887275,778.2376465,0.0,13.16829769
18,7.049079108,716.1098022,0.0,12.83316372
19,6.609927511,677.6986069,0.0,12.51231623
20,7.4504004,824.9287704,0.0,13.34822877
21,7.217478156,856.298941,0.0,13.49325205
22,6.887492609,699.6897797,0.0,12.73223399
23,7.283207941,782.9065948,0.0,13.21162847
24,6.435347223,615.3311844,0.0,12.23402032
25,6.379010057,524.3178421,0.0,11.63662796
26,6.538591766,623.0834167,0.0,12.27714859
27,6.292285895,564.8327667,0.0,11.93464328
28,6.331063056,605.1855118,0.0,12.12119253
29,6.38287096,596.2008179,0.0,12.12332381
30,6.525932169,565.1171402,0.0,11.86582263
31,6.106772339,411.4626961,0.0,10.77837074
32,5.691213667,345.1572754,0.0,10.26916136
33,5.437594247,337.6536674,0.0,10.15223376
34,5.20587858,322.9964516,0.0,10.03652854
35,5.324103165,280.7256683,0.0,9.677389339
36,5.509319746,361.562384,0.0,10.38595198
37,6.147053051,471.4110474,0.0,11.25786361
38,6.404403484,524.0126495,0.0,11.59026141
39,6.03513974,521.4026184,0.0,11.5798185
40,5.574195647,374.4658722,0.0,10.48743631
41,5.713451529,399.2597168,0.0,10.72285885
42,5.544254303,332.2649918,0.0,10.14758487
43,6.390240312,471.1950027,0.0,11.25352912
44,6.495396817,525.9515244,0.0,11.61500037
45,6.80823071,626.1907303,0.0,12.2229939
46,6.596410751,559.7144865,0.0,11.93298955
47,6.628916883,609.1886276,0.0,12.19246678
48,6.54358511,602.522673,0.0,12.17275371
49,6.783189869,614.1697113,0.0,12.20480499
50,6.579986286,581.8802383,0.0,12.01291582
51,6.761267638,630.4493927,0.0,12.32575862
52,6.61724206,597.4784128,0.0,12.09563354
53,6.555168152,588.5750198,0.0,12.10654548
54,6.839118671,712.1344452,0.0,12.8019876
55,7.370804429,788.9131287,0.0,13.244084
56,7.204131699,792.5672882,0.0,13.26699632
57,6.916235196,682.8572886,0.0,12.64184456
58,7.019861698,732.7901886,0.0,12.93938376
59,6.939541841,649.970314,0.0,12.45349194
60,6.636620402,614.5362274,0.0,12.21549068
61,6.622679925,574.8546997,0.0,12.0199061
62,6.573934865,571.6775116,0.0,11.95144571
63,6.415671086,514.7788147,0.0,11.60152034
64,3.663498929,147.6771665,0.652105269,8.881527985
65,2.468410963,48.90323925,0.972500008,8.219986305
66,3.047412372,102.338221,0.394000006,8.269457147
67,3.208998972,112.786341,0.281,8.215201959
68,2.555302054,75.08899775,0.690000008,8.265506476
69,2.727265036,27.68937555,1.34000001,8.269470692
70,3.296409845,62.20522747,0.820000008,8.322201043
71,3.029054159,112.0969753,0.269500004,8.308191553
72,3.024209321,48.77197371,1.007000008,8.272936955
73,2.885886512,54.07848005,1.01842106,8.260578341
74,4.283489323,113.4495291,0.566000006,8.436702535
75,4.399597776,156.9122726,0.0,8.355053008
76,4.869693148,191.316626,0.0,8.746440321
77,4.165895891,141.4083164,0.073500001,8.341125906
78,4.985764563,315.3840065,0.074000001,10.05130135
79,3.091776848,75.89949312,0.591500008,8.18347697
80,3.213918138,79.84812918,0.643000007,8.217374682
81,3.18284449,62.35729904,0.841000009,8.186829865
82,2.893362308,29.13206908,1.304000008,8.165740415
83,3.191383189,48.00259085,0.991000009,8.200359866
84,2.824513936,72.08045559,0.675500008,8.300736442
85,3.69286769,180.0926643,0.318500006,8.870763838
86,4.917528605,231.2340378,0.047,9.167221248
87,4.589362216,221.1192787,0.0,9.069423616
88,3.702780116,132.4950874,0.171500003,8.372359559
89,3.671743608,118.5309158,0.245000005,8.310204864
90,2.938450545,87.89865742,0.491500008,8.221059993
91,3.456956935,132.6300865,0.122500002,8.390411094
92,5.501857543,262.6014709,0.0,9.414672911
93,4.857163358,228.177919,0.0,9.130606547
94,4.537238669,258.9377304,0.0,9.469902188
95,4.52060877,171.5216704,0.0,8.606471121
96,3.76236577,134.4195377,0.094000001,8.354204401
97,2.877342874,51.8323082,0.96500001,8.286634371
98,2.675382859,71.82268353,0.64000001,8.187051415
99,4.985393167,191.5135033,0.028,8.841988072
100,4.939451063,218.2211586,0.0,9.048731759
101,4.771813027,152.3802887,0.0,8.408530354
102,5.378305578,257.1744537,0.0,9.461440712
103,5.969391271,387.3101494,0.0,10.67010261
104,4.941752744,220.5584717,0.0,9.084468886
105,5.025580955,268.1059513,0.0,9.546239517
106,5.302217913,307.1526627,0.0,9.843057185
107,5.724960303,371.4978096,0.0,10.57963827
108,4.805424766,212.1804733,0.0,9.052011308
109,4.759626746,205.5939646,0.0,8.911258746
