,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
0,6.847519922,403.1424281,8.266999958,9.106927905
1,2.480962729,3.238663635,13.00149989,6.047780646
2,8.005382061,1116.352789,0.0,14.71682256
3,8.255363226,1201.907571,0.0,14.82452041
4,8.241515565,1318.326151,0.0,15.01234393
5,7.702735887,1161.022427,0.194117644,14.05119244
6,8.726999164,1588.776471,0.787500012,14.96320188
7,9.380157876,1656.578943,0.442500003,15.1409086
8,8.557727766,1317.418631,0.175499998,14.59684181
9,9.417579889,1699.222678,0.91249999,15.07376267
10,9.435028577,1689.692722,1.6005,15.01221268
11,8.601702404,1559.849893,1.013500023,14.90308209
12,9.078164506,1638.939267,0.926999998,15.01379585
13,8.919510961,1553.891885,0.403999997,15.01363666
14,8.854393744,1500.225906,0.257000003,15.00295638
15,9.512898397,1732.62616,1.3925,15.11173099
16,9.567769098,1754.828082,1.77349999,15.09387267
17,9.683135104,1803.586108,0.909500001,15.14346041
18,9.505436206,1646.240665,1.310500012,14.99742164
19,8.989417338,1491.328696,0.212499998,14.92664967
20,8.810901618,1442.55307,0.351500002,14.89392096
21,9.729114246,1847.406824,1.298999999,15.17106695
22,9.482715869,1845.137732,1.160999995,15.15567836
23,9.337686992,1673.199585,0.808999991,15.11334792
24,8.583251381,1336.784296,0.287,14.31429756
25,8.910879278,1442.035516,0.906999992,14.65643764
26,7.60998224,1124.272592,0.0,14.30644454
27,8.433006251,1339.804639,0.115500001,14.71855009
28,7.52266413,1122.907794,0.0005,14.03820205
29,8.291671503,1311.585549,0.0,14.81657187
30,7.561682582,1003.05856,0.0,13.99954261
31,7.219835615,881.8237244,0.0,13.6894163
32,7.687165093,951.4440063,0.0,14.02638106
33,8.041467476,1197.954645,0.0,14.98747234
34,3.51220305,41.70398752,17.07100044,5.380821526
35,2.827394856,22.50601785,11.77650037,6.372859804
36,2.323041458,11.43780183,18.55250068,5.316306051
37,4.653639454,140.191558,11.13400035,6.674292452
38,3.472333872,36.49150225,19.70600072,4.823977056
39,2.484371877,5.83199202,5.632500061,7.124294177
40,2.133992052,2.487291501,5.833000016,7.533254452
41,2.194677711,3.471772456,12.8020004,6.537893937
42,2.470623803,6.017737705,10.21300035,6.974088354
43,3.426491511,22.20282867,12.71200027,6.007211253
44,3.36927464,33.9128608,16.00050041,5.537319873
45,2.838210666,11.36853853,16.7010006,5.931430718
46,3.731899107,36.52658841,8.479000102,6.891283315
47,3.745940781,33.99807571,9.035000229,6.968578756
48,3.44153266,29.77097168,7.20300014,7.074658765
49,3.264974535,1.954981089,11.92650033,6.358328674
50,7.405441976,603.2989792,4.800499991,10.91385801
51,7.828611302,1108.62027,0.0,14.71822916
52,8.2359097,1372.498486,0.0125,15.08928452
53,8.509483886,1454.017087,0.030500001,15.0385619
54,8.435753655,1388.515717,0.0,15.08206058
55,8.681298351,1404.877063,0.0,15.0885876
56,9.171701002,1556.767639,0.102999999,15.1209501
57,9.259353161,1719.284644,0.209999999,15.15027644
58,8.654642582,1555.105695,0.210500006,15.13901773
59,9.706653738,1832.2198,0.631999999,15.15580273
60,9.458621669,1840.533856,0.479500002,15.16980198
61,8.47844727,1427.348938,0.0465,15.10325307
62,8.346449399,1374.031897,0.120499997,15.00739869
63,9.861205006,1915.022577,1.422000002,15.17489603
64,10.37922878,2033.537482,2.513,15.15931401
65,9.770638752,1855.55387,0.905000013,15.15795055
66,9.192416787,1551.779102,0.0745,15.11220342
67,9.109739399,1509.774548,0.0305,15.09087534
68,9.281015635,1670.233136,0.240000002,15.13509303
69,9.118705106,1604.590918,0.173000002,15.0658468
70,10.08898551,1939.554443,1.436500004,15.11804447
71,9.403472281,1763.806915,0.336500001,15.17229742
72,8.271902537,1256.083618,0.0215,14.94576904
73,8.199787092,1227.995746,0.001,14.78179666
74,8.616872863,1316.444648,0.117368422,14.80989914
75,9.482622802,1746.512169,0.566250016,15.14411643
76,9.82031188,1945.149652,1.512500012,15.15372147
77,9.199359131,1672.610046,0.363499999,15.11586061
78,8.793063188,1363.369214,0.121999998,14.98528191
79,9.710013533,1894.019507,1.176499993,15.11964905
80,9.624496078,1712.32522,1.093000019,15.08981077
81,8.686310172,1616.092303,0.901999989,15.14905179
82,9.69779942,1904.119287,2.385499991,15.16270164
83,10.48271475,2012.752075,2.479500014,15.17300811
84,9.245913863,1641.28736,0.503999999,15.11345646
85,9.047109604,1529.792181,0.374000003,15.07454856
86,8.777452111,1458.318976,0.057999999,15.1136616
87,9.225214732,1412.370599,0.03,15.10656623
88,8.670235109,1220.549741,0.0,14.91900399
89,8.756717682,1369.496304,0.0245,14.93320204
90,8.708511043,1470.150079,0.273500001,14.99264914
91,9.373104143,1755.898358,0.525500005,15.13222848
92,11.56212406,2065.901111,5.965500009,15.24815333
